i  j  rcb      Mcb      Etotcb 
 0  0  3.407  10.000  -36067859461643399388259545098747904.000 
 0  1  3.391  10.000  -34296460841659572132466915144630272.000 
 0  2  3.375  10.000  -32553738090892245337942842033569792.000 
 0  3  3.359  10.000  -30827908402879286778653025645887488.000 
 0  4  3.344  10.000  -29130762978171173971857477564628992.000 
 0  5  3.328  10.000  -27452248759805787867060916447084544.000 
 0  6  3.312  10.000  -25801226610162804652576251687469056.000 
 0  7  3.296  10.000  -24171353155659856828775199162761216.000 
 0  8  3.280  10.000  -22567162404804251387813346385330176.000 
 0  9  3.264  10.000  -20986932908190651564989220770545664.000 
 0  10  3.248  10.000  -19430527055339742447528300853067776.000 
 0  11  3.232  10.000  -17900474502321694535662178452635648.000 
 0  12  3.216  10.000  -16392943463751328162728711597064192.000 
 0  13  3.200  10.000  -14913275510962934700570525992747008.000 
 0  14  3.184  10.000  -13455433336622643708905991039877120.000 
 0  15  3.168  10.000  -12026356234016814645739028108804096.000 
 0  16  3.152  10.000  -10618829498807982644734626753413120.000 
 0  17  3.136  10.000  -9240550324943355531823258613579776.000 
 0  18  3.120  10.000  -7883755943447551065064279034036224.000 
 0  19  3.105  10.000  -6556406922863612717234582752067584.000 
 0  20  3.089  10.000  -5250642237144194646088277722923008.000 
 0  21  3.073  10.000  -3974304654046404150133002170531840.000 
 0  22  3.057  10.000  -2719723546241072655797525587951616.000 
 0  23  3.041  10.000  -1494354686667012873908305950408704.000 
 0  24  3.025  10.000  -291027160997675784880301434470400.000 
 1  0  4.033  10.000  -109651784293709506171857460116062208.000 
 1  1  4.018  10.000  -107124108788194800069294348415533056.000 
 1  2  4.004  10.000  -104607198780977964285738570592813056.000 
 1  3  3.989  10.000  -102111661442586904913298959296888832.000 
 1  4  3.974  10.000  -99636015092015101484221323672551424.000 
 1  5  3.958  10.000  -97174587844296577122838753493123072.000 
 1  6  3.943  10.000  -94738856804028598596874030689550336.000 
 1  7  3.928  10.000  -92319942595583786122991239377715200.000 
 1  8  3.913  10.000  -89920801238293269430293822795939840.000 
 1  9  3.897  10.000  -87548754962993683500603222651830272.000 
 1  10  3.882  10.000  -85192848368795754793253696297762816.000 
 1  11  3.866  10.000  -82863140327262744088408046629289984.000 
 1  12  3.851  10.000  -80556813762708593548816816141238272.000 
 1  13  3.835  10.000  -78270758930459843688759287829495808.000 
 1  14  3.819  10.000  -76014673467505485666835031543250944.000 
 1  15  3.803  10.000  -73777818269828463411897888363511808.000 
 1  16  3.787  10.000  -71569010839224520479958090878287872.000 
 1  17  3.772  10.000  -69386022033079914033598603466899456.000 
 1  18  3.756  10.000  -67225979930558807867078931512295424.000 
 1  19  3.740  10.000  -65097491462334000242414696299233280.000 
 1  20  3.724  10.000  -62990320963375066797716025185927168.000 
 1  21  3.707  10.000  -60914609892392326623571160028151808.000 
 1  22  3.691  10.000  -58863668099849912619045937026695168.000 
 1  23  3.675  10.000  -56840412975394857878619932629925888.000 
 1  24  3.659  10.000  -54847937335963594829642857690693632.000 
 1  25  3.643  10.000  -52879655724989686403920911073804288.000 
 1  26  3.627  10.000  -50944910314550670492637264783343616.000 
 1  27  3.610  10.000  -49034066642954652951413364256407552.000 
 1  28  3.594  10.000  -47156417066495519271392591497658368.000 
 1  29  3.578  10.000  -45304939094042426606949105252958208.000 
 1  30  3.561  10.000  -43484176067934108242920238609334272.000 
 1  31  3.545  10.000  -41693496434351030438489705850863616.000 
 1  32  3.529  10.000  -39930625941083397915302269422665728.000 
 1  33  3.512  10.000  -38200847211638605069966800920248320.000 
 1  34  3.496  10.000  -36497199883092106209046124694601728.000 
 1  35  3.479  10.000  -34827920221560919641078108409298944.000 
 1  36  3.463  10.000  -33184484968370737969340961255325696.000 
 1  37  3.447  10.000  -31575486677446041135727122873057280.000 
 1  38  3.430  10.000  -29992906983592365161479136293683200.000 
 1  39  3.414  10.000  -28444052582900605321661923100459008.000 
 1  40  3.397  10.000  -26922720169512573142271628329091072.000 
 1  41  3.381  10.000  -25433939269920951339117130278764544.000 
 1  42  3.365  10.000  -23973988229715013348664345880428544.000 
 1  43  3.348  10.000  -22545195348852250493894076724674560.000 
 1  44  3.332  10.000  -21146586309251590931822128912138240.000 
 1  45  3.315  10.000  -19777777499150261183344795149402112.000 
 1  46  3.299  10.000  -18440180614577693861808878204747776.000 
 1  47  3.283  10.000  -17131337401973042469485452281774080.000 
 1  48  3.267  10.000  -15854266461220530865291224045060096.000 
 1  49  3.250  10.000  -14605207048260319495534743495114752.000 
 2  0  4.758  10.000  -218047224224364001565617601315340288.000 
 2  1  4.746  10.000  -214616976290714262097591384586321920.000 
 2  2  4.734  10.000  -211186241451100195152645693160554496.000 
 2  3  4.721  10.000  -207755600512167111542607973374230528.000 
 2  4  4.709  10.000  -204331001707355657894673927483949056.000 
 2  5  4.696  10.000  -200917448397729872776383400842887168.000 
 2  6  4.683  10.000  -197507397278549855987553332927397888.000 
 2  7  4.670  10.000  -194102332238429399721821231703392256.000 
 2  8  4.657  10.000  -190708665201146357269242426823802880.000 
 2  9  4.644  10.000  -187329574206115961463138021437079552.000 
 2  10  4.630  10.000  -183956611526455131874537079583014912.000 
 2  11  4.617  10.000  -180594789517484225193582024238039040.000 
 2  12  4.603  10.000  -177251060503781377955854943977996288.000 
 2  13  4.589  10.000  -173920917698790206159623964032237568.000 
 2  14  4.575  10.000  -170602051018507743572154374284115968.000 
 2  15  4.561  10.000  -167301866330101432483584417099415552.000 
 2  16  4.547  10.000  -164022674237693765088527860637892608.000 
 2  17  4.532  10.000  -160756428636800813475616744873656320.000 
 2  18  4.518  10.000  -157509884829505259942674208611368960.000 
 2  19  4.503  10.000  -154288459677628268678963118500478976.000 
 2  20  4.488  10.000  -151083357221392801419587896821678080.000 
 2  21  4.473  10.000  -147899461603294773333368099267674112.000 
 2  22  4.458  10.000  -144743490413978098551806252204163072.000 
 2  23  4.443  10.000  -141607082236981843721197882557071360.000 
 2  24  4.428  10.000  -138493951042424966370286508590497792.000 
 2  25  4.412  10.000  -135411091150686197696119812770496512.000 
 2  26  4.397  10.000  -132350269305177740789709216231194624.000 
 2  27  4.381  10.000  -129315350413996425741136809017999360.000 
 2  28  4.366  10.000  -126312723535456976240016329946431488.000 
 2  29  4.350  10.000  -123333846251942161559780214915989504.000 
 2  30  4.334  10.000  -120384067617456093223794106599211008.000 
 2  31  4.318  10.000  -117467817121150771808733031070433280.000 
 2  32  4.302  10.000  -114576960522283161070198123736858624.000 
 2  33  4.286  10.000  -111718896484029751966392414258593792.000 
 2  34  4.270  10.000  -108893961159301329107209959885504512.000 
 2  35  4.254  10.000  -106097005095857854074700836294885376.000 
 2  36  4.237  10.000  -103336624513530978799143624581840896.000 
 2  37  4.221  10.000  -100607030380779241473249110707404800.000 
 2  38  4.205  10.000  -97909731446160127458599413424848896.000 
 2  39  4.188  10.000  -95250441237841431328419856670261248.000 
 2  40  4.172  10.000  -92621289408570040485633448554266624.000 
 2  41  4.155  10.000  -90029310898957293702895051389009920.000 
 2  42  4.138  10.000  -87472859565016015136587916341411840.000 
 2  43  4.121  10.000  -84949510227973529753782294291677184.000 
 2  44  4.105  10.000  -82466161151030080306463127493410816.000 
 2  45  4.088  10.000  -80015326907283528295641527103782912.000 
 2  46  4.071  10.000  -77603084420108649645264288864010240.000 
 2  47  4.054  10.000  -75228017112421892593598894981513216.000 
 2  48  4.037  10.000  -72887967994894229332613385307553792.000 
 2  49  4.020  10.000  -70588923159716161142450126355169280.000 
 3  0  5.590  10.000  -373877280041829286028257231017869312.000 
 3  1  5.583  10.000  -369439914461471788519550542269120512.000 
 3  2  5.576  10.000  -364974878231989041170302280839200768.000 
 3  3  5.569  10.000  -360484126662296483682151136787169280.000 
 3  4  5.561  10.000  -355969747126029986774275446630514688.000 
 3  5  5.553  10.000  -351433974518400325719375574028255232.000 
 3  6  5.545  10.000  -346879158017722169549042385439162368.000 
 3  7  5.537  10.000  -342307635926949872373855552670793728.000 
 3  8  5.529  10.000  -337717038469162631767312150497853440.000 
 3  9  5.520  10.000  -333107922897554706642133968303947776.000 
 3  10  5.511  10.000  -328482849077133153241507183430991872.000 
 3  11  5.502  10.000  -323844574067547121055712945113137152.000 
 3  12  5.492  10.000  -319195960647172569756232976709976064.000 
 3  13  5.482  10.000  -314540013660993393301210736386637824.000 
 3  14  5.473  10.000  -309875910581211371545495223899521024.000 
 3  15  5.462  10.000  -305201677538226101514098807664541696.000 
 3  16  5.452  10.000  -300520551994399306088414545157554176.000 
 3  17  5.441  10.000  -295835848056078736605241450354966528.000 
 3  18  5.431  10.000  -291151029047350851859092636853862400.000 
 3  19  5.420  10.000  -286468071143048845744691376270868480.000 
 3  20  5.408  10.000  -281783016674529790534785775284781056.000 
 3  21  5.397  10.000  -277098069118792042770343051646730240.000 
 3  22  5.385  10.000  -272417202361100084896140909504102400.000 
 3  23  5.373  10.000  -267744342422272415972965784116789248.000 
 3  24  5.361  10.000  -263080489820993695344723039459737600.000 
 3  25  5.349  10.000  -258421497775297075301603592720351232.000 
 3  26  5.337  10.000  -253771055741147202954432535091740672.000 
 3  27  5.324  10.000  -249133455417417963570769821167517696.000 
 3  28  5.311  10.000  -244512443241930384765957802312073216.000 
 3  29  5.298  10.000  -239903366924318402513702510024196096.000 
 3  30  5.285  10.000  -235307832899178109902148628295712768.000 
 3  31  5.271  10.000  -230730485268939053869778466473246720.000 
 3  32  5.258  10.000  -226175620631579857524008406879305728.000 
 3  33  5.244  10.000  -221638771290028326737872941427458048.000 
 3  34  5.230  10.000  -217121100785061794593299760915939328.000 
 3  35  5.216  10.000  -212627499331549915288876408580866048.000 
 3  36  5.201  10.000  -208161651562322931018974016879722496.000 
 3  37  5.187  10.000  -203718290792884287388823853941653504.000 
 3  38  5.172  10.000  -199300320780007080231341649066721280.000 
 3  39  5.157  10.000  -194912908796549541070265395865190400.000 
 3  40  5.143  10.000  -190556432561494487637636156145795072.000 
 3  41  5.128  10.000  -186227058488816103728958891114889216.000 
 3  42  5.112  10.000  -181929939986945578133031200093110272.000 
 3  43  5.097  10.000  -177669329364353231351464190300651520.000 
 3  44  5.081  10.000  -173439898081928358696760730672168960.000 
 3  45  5.066  10.000  -169244662118421144529318794324082688.000 
 3  46  5.050  10.000  -165088980304620389615247657757835264.000 
 3  47  5.034  10.000  -160969587908538142395505430811901952.000 
 3  48  5.018  10.000  -156886453282834311916025973412200448.000 
 3  49  5.001  10.000  -152845150550543816555990363280506880.000 
 4  0  6.537  10.000  -593704443683540397944999766136979456.000 
 4  1  6.539  10.000  -588249863573345583494054765557448704.000 
 4  2  6.541  10.000  -582720145060056258389303976655847424.000 
 4  3  6.542  10.000  -577116410493109013774536428138528768.000 
 4  4  6.543  10.000  -571439586446756562126417284766367744.000 
 4  5  6.543  10.000  -565690909135805711461772682395123712.000 
 4  6  6.544  10.000  -559871539788953867690538865583456256.000 
 4  7  6.544  10.000  -553982804309743526453419136830668800.000 
 4  8  6.543  10.000  -548026010102722633305806582845538304.000 
 4  9  6.543  10.000  -542002687806257089684289077324546048.000 
 4  10  6.542  10.000  -535914215790546112267023742209622016.000 
 4  11  6.540  10.000  -529762172552274167789113765743558656.000 
 4  12  6.539  10.000  -523548171608888310977659534646968320.000 
 4  13  6.537  10.000  -517273871594155597896031211396005888.000 
 4  14  6.535  10.000  -510941012687535284539112158503370752.000 
 4  15  6.532  10.000  -504551396917694995737201700994285568.000 
 4  16  6.530  10.000  -498106886174735036550471464601518080.000 
 4  17  6.526  10.000  -491609389678546577852979928258052096.000 
 4  18  6.523  10.000  -485060317341576645697406321012244480.000 
 4  19  6.519  10.000  -478461373400288744037734947970088960.000 
 4  20  6.515  10.000  -471814536025441674479950212133552128.000 
 4  21  6.511  10.000  -465121761107563804648901369328041984.000 
 4  22  6.506  10.000  -458385152635673981948264573225140224.000 
 4  23  6.501  10.000  -451606860635315667614589920208748544.000 
 4  24  6.496  10.000  -444789105925499471213897741965983744.000 
 4  25  6.491  10.000  -437934199575246787370126142584389632.000 
 4  26  6.485  10.000  -431044519943976255299906932383416320.000 
 4  27  6.478  10.000  -424122506564092072765906885585928192.000 
 4  28  6.472  10.000  -417170703932804603810195130848116736.000 
 4  29  6.465  10.000  -410191700497794345513692404750745600.000 
 4  30  6.458  10.000  -403187984172416771312062043418263552.000 
 4  31  6.451  10.000  -396160048779926314094062691434889216.000 
 4  32  6.443  10.000  -389109892370158120231219666660360192.000 
 4  33  6.435  10.000  -382040267850133910255037811376783360.000 
 4  34  6.427  10.000  -374953965833083561687754089525411840.000 
 4  35  6.418  10.000  -367853888082102999392679408848338944.000 
 4  36  6.410  10.000  -360742996091244794020360474069041152.000 
 4  37  6.400  10.000  -353624318036836016982499133749198848.000 
 4  38  6.391  10.000  -346500345349962927345509246003314688.000 
 4  39  6.381  10.000  -339370643175170735561387076204101632.000 
 4  40  6.372  10.000  -332238092218644820314629417587441664.000 
 4  41  6.361  10.000  -325105805259333210434695806551326720.000 
 4  42  6.351  10.000  -317977063312150536670648146088427520.000 
 4  43  6.340  10.000  -310855169204298141746552651850448896.000 
 4  44  6.329  10.000  -303743429704843810327348504436932608.000 
 4  45  6.318  10.000  -296640326564429983587554051682729984.000 
 4  46  6.306  10.000  -289548906660569503041249600969113600.000 
 4  47  6.294  10.000  -282472628274056811691395909236555776.000 
 4  48  6.282  10.000  -275415019900468071231711108803854336.000 
 4  49  6.270  10.000  -268379542511587647062685022626512896.000 
 5  0  7.606  10.000  -899223235844958196444881616937943040.000 
 5  1  7.620  10.000  -892890641438925169850741780006305792.000 
 5  2  7.635  10.000  -886411477150678367658029113564725248.000 
 5  3  7.650  10.000  -879787594097543075278854658759589888.000 
 5  4  7.664  10.000  -873014483976421546106918318188265472.000 
 5  5  7.678  10.000  -866088362512993471256103979646451712.000 
 5  6  7.691  10.000  -859006137448632146283021506487255040.000 
 5  7  7.704  10.000  -851768159528584214828989436370354176.000 
 5  8  7.717  10.000  -844382878653785586046225085072670720.000 
 5  9  7.730  10.000  -836847927691167824478394217433923584.000 
 5  10  7.742  10.000  -829160995461695219881291218998525952.000 
 5  11  7.754  10.000  -821320232423577717586717134731345920.000 
 5  12  7.765  10.000  -813324375685865836208792247998611456.000 
 5  13  7.776  10.000  -805172942452642869540768876280676352.000 
 5  14  7.787  10.000  -796871677972551476321306615144775680.000 
 5  15  7.798  10.000  -788421737215891715363420067671834624.000 
 5  16  7.808  10.000  -779822331573101921698814823376093184.000 
 5  17  7.818  10.000  -771073024616678066943648397745192960.000 
 5  18  7.828  10.000  -762173777287810092712634204580478976.000 
 5  19  7.837  10.000  -753124967553996533490449102472740864.000 
 5  20  7.846  10.000  -743927179565217450737986894903115776.000 
 5  21  7.854  10.000  -734581462874654195614980111335424000.000 
 5  22  7.862  10.000  -725091604766282437243070178685616128.000 
 5  23  7.870  10.000  -715459557297620551694482297063473152.000 
 5  24  7.878  10.000  -705686222775491109996160329287991296.000 
 5  25  7.885  10.000  -695772772747442783917847298244083712.000 
 5  26  7.891  10.000  -685720602382674517509590469505449984.000 
 5  27  7.898  10.000  -675531341812535363781774349304856576.000 
 5  28  7.904  10.000  -665206818005708791668275398345490432.000 
 5  29  7.909  10.000  -654749044224613964218112739758833664.000 
